Unnamed: 0,model,language,framework,repo_url,success,execution_time_seconds,valid_openapi,files_processed,error,expected_paths_count,generated_paths_count,path_match_count,path_recall,path_precision,expected_methods_count,generated_methods_count,method_match_count,method_recall,method_precision,date,description
170.0,llama3,Java,Spring Boot + WebFlux + MongoDB,https://github.com/a-mountain/realworld-spring-webflux,True,259.94,False,66,,12.0,27.0,10.0,0.8333,0.3704,19.0,39.0,16.0,0.8421,0.4103,21:19:15,
171.0,llama3,C#,.NET + Minimal API,https://github.com/Erikvdv/realworldapiminimal,False,3.28,False,42,Pipeline completed but swagger.json not found at output/realworldapiminimal/swagger.json,,,,,,,,,,,21:19:15,
172.0,llama3,C#,ASP.NET Core,https://github.com/gothinkster/aspnetcore-realworld-example-app,False,2.91,False,64,Pipeline completed but swagger.json not found at output/aspnetcore-realworld-example-app/swagger.json,,,,,,,,,,,21:19:15,
173.0,llama3,C#,ASP.NET Core + Couchbase,https://github.com/mgroves/realworld-aspnet-couchbase,True,211.12,False,130,,12.0,28.0,10.0,0.8333,0.3571,19.0,40.0,16.0,0.8421,0.4,21:19:15,
174.0,llama3,C#,ASP.NET Core + Microservices,https://github.com/profjordanov/realworld-microservices,True,183.79,False,73,,12.0,29.0,10.0,0.8333,0.3448,19.0,41.0,16.0,0.8421,0.3902,21:19:15,
175.0,llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,False,6.71,False,27,Pipeline completed but swagger.json not found at output/typescript-firestore-terraform-realworld-backend/swagger.json,,,,,,,,,,,21:18:26,
176.0,llama3,typescript,Express + Knex.js + AWS Lambda,https://github.com/kenyipp/realworld-nodejs-example-app,False,8.66,False,145,Pipeline completed but swagger.json not found at output/realworld-nodejs-example-app/swagger.json,,,,,,,,,,,21:18:26,
177.0,llama3,typescript,Express + PostgreSQL + Drizzle + Docker,https://github.com/AhmedFawzy31/realworld-express-postgresql-drizzle,False,2.93,False,43,Pipeline completed but swagger.json not found at output/realworld-express-postgresql-drizzle/swagger.json,,,,,,,,,,,21:18:26,
178.0,llama3,typescript,Neo4j + NestJS,https://github.com/neo4j-examples/nestjs-neo4j-realworld-example,True,97.76,False,31,,12.0,10.0,9.0,0.75,0.9,19.0,14.0,13.0,0.6842,0.9286,21:18:26,
179.0,llama3,typescript,NestJS + MikroORM,https://github.com/mikro-orm/nestjs-realworld-example-app,True,110.52,False,37,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9,21:18:26,
180.0,llama3,typescript,NestJS + TypeORM,https://github.com/lujakob/nestjs-realworld-example-app,True,105.0,False,35,,12.0,14.0,12.0,1.0,0.8571,19.0,20.0,18.0,0.9474,0.9,21:18:26,
181.0,llama3,typescript,Nitro + Prisma + Zod,https://github.com/realworld-apps/nitro-prisma-zod-realworld-example-app,False,3.19,False,43,Pipeline completed but swagger.json not found at output/nitro-prisma-zod-realworld-example-app/swagger.json,,,,,,,,,,,21:18:26,
182.0,llama3,Java,Spring Boot + MyBatis,https://github.com/joyheros/realworld,True,117.1,False,83,,12.0,15.0,12.0,1.0,0.8,19.0,21.0,18.0,0.9474,0.8571,21:18:26,
183.0,llama3,Java,Spring Boot + Spring Data JDBC,https://github.com/alexey-lapin/realworld-backend-spring,False,4.36,False,174,Pipeline completed but swagger.json not found at output/realworld-backend-spring/swagger.json,,,,,,,,,,,21:18:26,
184.0,llama3,Java,Spring Boot + Spring Data JPA + DDD,https://github.com/borovikovd/realworld-backend-spring-ddd,False,1.77,False,36,Pipeline completed but swagger.json not found at output/realworld-backend-spring-ddd/swagger.json,,,,,,,,,,,21:18:26,
185.0,llama3,Java,Spring Boot + Spring Data JPA + PostgreSQL,https://github.com/marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,True,174.39,False,45,,12.0,21.0,11.0,0.9167,0.5238,19.0,31.0,17.0,0.8947,0.5484,21:18:26,
186.0,llama3,Java,Spring Boot + WebFlux + MongoDB,https://github.com/a-mountain/realworld-spring-webflux,True,169.36,False,66,,12.0,27.0,10.0,0.8333,0.3704,19.0,40.0,16.0,0.8421,0.4,21:18:26,
187.0,llama3,C#,.NET + Minimal API,https://github.com/Erikvdv/realworldapiminimal,False,2.53,False,42,Pipeline completed but swagger.json not found at output/realworldapiminimal/swagger.json,,,,,,,,,,,21:18:26,
188.0,llama3,C#,ASP.NET Core,https://github.com/gothinkster/aspnetcore-realworld-example-app,False,2.93,False,64,Pipeline completed but swagger.json not found at output/aspnetcore-realworld-example-app/swagger.json,,,,,,,,,,,21:18:26,
189.0,llama3,C#,ASP.NET Core + Couchbase,https://github.com/mgroves/realworld-aspnet-couchbase,True,158.26,False,130,,12.0,28.0,10.0,0.8333,0.3571,19.0,41.0,16.0,0.8421,0.3902,21:18:26,
190.0,llama3,C#,ASP.NET Core + Microservices,https://github.com/profjordanov/realworld-microservices,True,153.96,False,73,,12.0,29.0,10.0,0.8333,0.3448,19.0,42.0,16.0,0.8421,0.381,21:18:26,
191.0,llama3,typescript,Express & Firestore,https://github.com/marcusmonteirodesouza/typescript-firestore-terraform-realworld-backend,True,111.66,True,27,,12.0,12.0,11.0,0.9167,0.9167,19.0,18.0,17.0,0.8947,0.9444,27:00:19,
